Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 types.py:1645(SecretStr)
        1    0.000    0.000    0.000    0.000 metadata.py:11(Provenance)
        1    0.000    0.000    0.000    0.000 _covariance.py:463(CovViaPrecision)
        1    0.000    0.000    0.000    0.000 display.py:17(detect_console_encoding)
        1    0.000    0.000    0.000    0.000 dates.py:208(__getattr__)
        1    0.000    0.000    0.000    0.000 networks.py:656(IPvAnyInterface)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:442(FigureManagerTk)
        1    0.000    0.000    0.000    0.000 rule.py:66(IconSet)
        1    0.000    0.000    0.000    0.000 _mannwhitneyu.py:20(_MWU)
       15    0.000    0.000    0.000    0.000 group.py:104(using_group_names)
        1    0.000    0.000    0.000    0.000 types.py:202(ConstrainedInt)
        4    0.000    0.000    0.000    0.000 core_schema.py:1880(no_info_before_validator_function)
        1    0.000    0.000    0.000    0.000 borders.py:33(Side)
        1    0.000    0.000    0.000    0.000 cobyla.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scenario.py:74(ScenarioList)
        5    0.000    0.000    0.000    0.000 typing.py:2285(_strip_annotations)
        1    0.000    0.000    0.000    0.000 networks.py:583(EmailStr)
        1    0.000    0.000    0.000    0.000 spreadsheet_drawing.py:60(AnchorMarker)
        1    0.000    0.000    0.000    0.000 _extract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:100(CompleteDirs)
        1    0.000    0.000    0.000    0.000 enum.py:1612(unique)
        1    0.000    0.000    0.000    0.000 step.py:148(XRDTrace)
        3    0.000    0.000    0.000    0.000 numpy_func.py:953(implement_atleast_nd)
        1    0.000    0.000    0.000    0.000 expr.py:753(PandasExprVisitor)
        1    0.000    0.000    0.000    0.000 cache.py:848(RangeSet)
        1    0.000    0.000    0.000    0.000 cell_range.py:425(MultiCellRange)
        1    0.000    0.000    0.000    0.000 _dcsrch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pyio.py:1331(BufferedRWPair)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2013(exponweib_gen)
        1    0.000    0.000    0.000    0.000 category.py:26(StrCategoryConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:4449(PanedWindow)
        1    0.000    0.000    0.000    0.000 fields.py:214(Boolean)
        1    0.000    0.000    0.000    0.000 backend_tools.py:245(ToolSetCursor)
       12    0.000    0.000    0.000    0.000 extension.py:110(inherit_names)
        1    0.000    0.000    0.000    0.000 offsetbox.py:595(DrawingArea)
        1    0.000    0.000    0.000    0.000 apply.py:709(NDFrameApply)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2579(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 fields.py:46(_FromFieldInfoInputs)
        1    0.000    0.000    0.000    0.000 pagebreak.py:11(Break)
        1    0.000    0.000    0.000    0.000 workbook.py:49(ChildSheet)
        1    0.000    0.000    0.000    0.000 more.py:3665(callback_iter)
        1    0.000    0.000    0.000    0.000 _structures.py:6(InfinityType)
        1    0.000    0.000    0.000    0.000 networks.py:680(IPvAnyNetwork)
        1    0.000    0.000    0.000    0.000 __init__.py:204(Interval)
        1    0.000    0.000    0.000    0.000 streamplot.py:259(DomainMap)
        1    0.000    0.000    0.013    0.013 __init__.py:8(lxml_available)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
       29    0.000    0.000    0.000    0.000 core.py:4233(<genexpr>)
        1    0.000    0.000    0.000    0.000 feedparser.py:134(FeedParser)
        1    0.000    0.000    0.000    0.000 json_schema.py:2329(WithJsonSchema)
       10    0.000    0.000    0.000    0.000 full.py:98(get_formatter)
        1    0.000    0.000    0.000    0.000 label.py:101(DataLabelList)
        1    0.000    0.000    0.000    0.000 _multivariate.py:5855(__init__)
        1    0.000    0.000    0.000    0.000 locks.py:15(SerializableLock)
        1    0.000    0.000    0.000    0.000 flexparser.py:735(ConsumeProtocol)
        1    0.000    0.000    0.000    0.000 testing.py:22(reset_pyparsing_context)
        1    0.000    0.000    0.000    0.000 _pade.py:1(<module>)
        1    0.000    0.000    0.000    0.000 properties.py:10(Outline)
        2    0.000    0.000    0.002    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:121(Buffer)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.000    0.000 fields.py:296(DateTimeField)
        1    0.000    0.000    0.000    0.000 properties.py:12(ChartsheetProperties)
       10    0.000    0.000    0.000    0.000 _docstring.py:33(__init__)
        1    0.000    0.000    0.000    0.000 surface_chart.py:24(BandFormat)
        1    0.000    0.000    0.000    0.000 ticker.py:1962(MaxNLocator)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.000    0.000 accessor.py:19(DirNamesMixin)
        1    0.000    0.000    0.000    0.000 _xlrd.py:25(XlrdReader)
        1    0.000    0.000    0.000    0.000 layout_engine.py:106(PlaceHolderLayoutEngine)
        1    0.000    0.000    0.000    0.000 filetype.py:177(Tomato_json)
        1    0.000    0.000    0.000    0.000 definitions.py:89(ContextDefinition)
       24    0.000    0.000    0.000    0.000 core.py:4232(<genexpr>)
        2    0.000    0.000    0.000    0.000 pathlib.py:519(__eq__)
        1    0.000    0.000    0.000    0.000 text.py:513(TextField)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:11780(rel_breitwigner_gen)
        1    0.000    0.000    0.000    0.000 common.py:271(AbstractDataStore)
        1    0.000    0.000    0.000    0.000 _dill.py:431(Unpickler)
        1    0.000    0.000    0.000    0.000 representer.py:134(SafeRepresenter)
        1    0.000    0.000    0.000    0.000 types.py:1197(PathType)
        1    0.000    0.000    0.000    0.000 string_.py:71(StringDtype)
        1    0.000    0.000    0.000    0.000 __init__.py:3648(_initialize)
        1    0.000    0.000    0.000    0.000 concat.py:398(_Concatenator)
        1    0.000    0.000    0.000    0.000 external.py:123(ExternalBook)
        1    0.000    0.000    0.000    0.000 defparser.py:34(_PintParser)
        1    0.000    0.000    0.000    0.000 _multivariate.py:6277(vonmises_fisher_gen)
        1    0.000    0.000    0.000    0.000 pytables.py:3203(SeriesFixed)
        1    0.000    0.000    0.000    0.000 report.py:5(ReportBase)
        1    0.000    0.000    0.000    0.000 indexing.py:1658(PandasIndexingAdapter)
        1    0.000    0.000    0.000    0.000 stackplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filetype.py:165(EZChrom_dat)
        1    0.000    0.000    0.000    0.000 geometry.py:460(CustomGeometry2D)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
       34    0.000    0.000    0.000    0.000 core.py:1924(recurse)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        1    0.000    0.000    0.000    0.000 geo.py:416(LambertTransform)
        1    0.000    0.000    0.000    0.000 tarfile.py:606(_FileInFile)
        1    0.000    0.000    0.000    0.000 _sf_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1535(PyEventBinder)
        1    0.000    0.000    0.000    0.000 sysconfig.py:484(get_makefile_filename)
        1    0.000    0.000    0.000    0.000 flexcache.py:233(NameByPath)
        1    0.000    0.000    0.000    0.000 warnings.py:9(PydanticDeprecationWarning)
        1    0.000    0.000    0.000    0.000 dia.py:1(<module>)
       13    0.000    0.000    0.000    0.000 accessor.py:136(delegate_names)
        1    0.000    0.000    0.000    0.000 rk.py:293(RK45)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:202(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 error_wrappers.py:50(ValidationError)
        4    0.000    0.000    0.000    0.000 core.py:5701(__init__)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2147(IPv6Interface)
        1    0.000    0.000    0.000    0.000 string_.py:254(BaseStringArray)
        1    0.000    0.000    0.000    0.000 ufuncs.py:45(_ufunc_wrapper)
        1    0.000    0.000    0.000    0.000 _util.py:856(_RichResult)
        1    0.000    0.000    0.000    0.000 _pyio.py:2045(_configure)
        7    0.000    0.000    0.000    0.000 typing.py:1261(__or__)
        1    0.000    0.000    0.000    0.000 tz.py:381(__init__)
        1    0.000    0.000    0.000    0.000 filetype.py:111(EmpaLC_csv)
        2    0.000    0.000    0.050    0.025 __init__.py:3643(_call_aside)
        1    0.000    0.000    0.000    0.000 cache.py:303(TupleCache)
        1    0.000    0.000    0.000    0.000 filetype.py:137(FHI_vna)
        1    0.000    0.000    0.000    0.000 __init__.py:336(SubclassedSeries)
        1    0.000    0.000    0.000    0.000 filetype.py:189(FHI_vna)
        1    0.000    0.000    0.000    0.000 effect.py:193(GlowEffect)
        1    0.000    0.000    0.000    0.000 table.py:612(PageField)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 docscrape.py:563(FunctionDoc)
        4    0.000    0.000    0.000    0.000 _pyio.py:1608(__del__)
        4    0.000    0.000    0.000    0.000 _strptime.py:26(_getlang)
        2    0.000    0.000    0.000    0.000 config.py:273(__call__)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:903(ToolTip)
        1    0.000    0.000    0.000    0.000 connector.py:78(ConnectorShape)
        1    0.000    0.000    0.000    0.000 ImageFile.py:692(PyDecoder)
        1    0.000    0.000    0.000    0.000 objects.py:46(BaseIndexer)
        6    0.000    0.000    0.000    0.000 functools.py:355(__init__)
        1    0.000    0.000    0.000    0.000 decorator.py:65(FunctionMaker)
        1    0.000    0.000    0.000    0.000 Image.py:3624(_apply_env_variables)
        5    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
        1    0.000    0.000    0.000    0.000 _model_construction.py:596(_DeprecatedFieldDescriptor)
        1    0.000    0.000    0.000    0.000 connectionpool.py:121(HTTPConnectionPool)
       22    0.000    0.000    0.000    0.000 expr.py:294(_op_maker)
        1    0.000    0.000    0.000    0.000 filetype.py:181(Touchstone_snp)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        4    0.000    0.000    0.000    0.000 excel.py:51(__set__)
        1    0.000    0.000    0.000    0.000 types.py:966(PaymentCardBrand)
        1    0.000    0.000    0.000    0.000 rk.py:183(RK23)
        1    0.000    0.000    0.000    0.000 filetype.py:173(Quadstar_sac)
        1    0.000    0.000    0.000    0.000 table.py:550(Format)
        1    0.000    0.000    0.000    0.000 filetype.py:109(EmpaLC_xlsx)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:399(__init__)
        7    0.000    0.000    0.000    0.000 message.py:331(set_payload)
        1    0.000    0.000    0.000    0.000 colors.py:192(HSLColor)
        1    0.000    0.000    0.000    0.000 core.py:3432(White)
        1    0.000    0.000    0.000    0.000 externaldate.py:33(ExternalDate)
        1    0.000    0.000    0.000    0.000 cftime_offsets.py:428(QuarterOffset)
        7    0.000    0.000    0.000    0.000 feedparser.py:208(_pop_message)
        1    0.000    0.000    0.000    0.000 filetype.py:209(Panalytical_csv)
        1    0.000    0.000    0.000    0.000 table.py:337(TablePartList)
        1    0.000    0.000    0.000    0.000 _special_sparse_arrays.py:518(Sakurai)
        1    0.000    0.000    0.000    0.000 filetype.py:99(Agilent_ch)
        1    0.000    0.000    0.000    0.000 merge.py:35(MergeCells)
        1    0.000    0.000    0.000    0.000 __init__.py:432(base_version)
        1    0.000    0.000    0.000    0.000 config.py:30(ConfigDict)
        1    0.000    0.000    0.000    0.000 _triplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _misc.py:608(_Options)
        1    0.000    0.000    0.000    0.000 selectn.py:43(SelectN)
        1    0.000    0.000    0.000    0.000 category.py:168(UnitData)
        1    0.000    0.000    0.000    0.000 tz.py:874(tzrange)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:18(_NestedSequence)
        1    0.000    0.000    0.000    0.000 numerictypes.py:589(_register_types)
        1    0.000    0.000    0.000    0.000 core.py:2624(Variable)
       10    0.000    0.000    0.000    0.000 base.py:461(__str__)
        1    0.000    0.000    0.000    0.000 chartspace.py:95(Protection)
        1    0.000    0.000    0.000    0.000 colors.py:548(ColorConverter)
        1    0.000    0.000    0.000    0.000 filetype.py:137(Quadstar_sac)
        1    0.000    0.000    0.000    0.000 graphic.py:128(GraphicFrame)
        1    0.000    0.000    0.000    0.000 roperator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:887(RegularPolygon)
        1    0.000    0.000    0.000    0.000 decorator.py:254(ContextManager)
        1    0.000    0.000    0.000    0.000 print_settings.py:40(PrintSettings)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 core.py:5804(Suppress)
        1    0.000    0.000    0.000    0.000 common.py:65(ImplementsArrayReduce)
        1    0.000    0.000    0.000    0.000 publish.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:83(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:442(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 _structures.py:35(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 filetype.py:105(Drycal_csv)
        2    0.000    0.000    0.000    0.000 config.py:566(deprecate_option)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:3086(genextreme_gen)
        1    0.000    0.000    0.000    0.000 web.py:42(WebPublishObjectList)
        2    0.000    0.000    0.000    0.000 pathlib.py:163(select_from)
        1    0.000    0.000    0.000    0.000 filetype.py:201(Fusion_csv)
        3    0.000    0.000    0.000    0.000 {built-in method pygame.base.get_sdl_version}
        1    0.000    0.000    0.000    0.000 pathlib.py:105(_compile_pattern)
        1    0.000    0.000    0.000    0.000 filetype.py:95(Fusion_csv)
        1    0.000    0.000    0.000    0.000 _decorators.py:201(Decorator)
        1    0.000    0.000    0.000    0.000 geo.py:297(HammerTransform)
        1    0.000    0.000    0.000    0.000 filetype.py:157(EmpaLC_csv)
        1    0.000    0.000    0.000    0.000 kherveDB_wxpython.py:1049(ElementPropertiesDialog)
        1    0.000    0.000    0.000    0.000 filetype.py:79(Drycal_csv)
        1    0.000    0.000    0.000    0.000 filetype.py:145(Fusion_zip)
        2    0.000    0.000    0.001    0.000 flexparser.py:1694(<genexpr>)
        1    0.000    0.000    0.000    0.000 filetype.py:157(Panalytical_csv)
        1    0.000    0.000    0.000    0.000 table.py:641(RowColItem)
        1    0.000    0.000    0.000    0.000 filetype.py:113(EZChrom_dat)
        1    0.000    0.000    0.000    0.000 info.py:442(DataFrameInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:243(MinLen)
        1    0.000    0.000    0.000    0.000 text.py:478(RegularTextRun)
        1    0.000    0.000    0.000    0.000 filetype.py:169(Phi_spe)
        1    0.000    0.000    0.000    0.000 Asteroid.py:28(Ship)
        1    0.000    0.000    0.000    0.000 _ndbspline.py:26(NdBSpline)
        1    0.000    0.000    0.000    0.000 filetype.py:113(Drycal_txt)
        1    0.000    0.000    0.000    0.000 filetype.py:197(Fusion_zip)
        1    0.000    0.000    0.000    0.000 filetype.py:115(EmpaLC_xlsx)
        1    0.000    0.000    0.000    0.000 scale.py:201(LogTransform)
        9    0.000    0.000    0.000    0.000 definitions.py:226(__post_init__)
        1    0.000    0.000    0.000    0.000 geo.py:344(MollweideTransform)
        1    0.000    0.000    0.000    0.000 configparser.py:494(LegacyInterpolation)
        1    0.000    0.000    0.000    0.000 simpledialog.py:31(SimpleDialog)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1068(Char)
        1    0.000    0.000    0.000    0.000 _nnls.py:1(<module>)
        2    0.000    0.000    0.000    0.000 registry.py:120(__init__)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:3553(Doc)
        1    0.000    0.000    0.000    0.000 common.py:542(BackendEntrypoint)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2789(_Mode)
        1    0.000    0.000    0.000    0.000 external_reference.py:1(<module>)
       12    0.000    0.000    0.000    0.000 core.py:5706(postParse)
        1    0.000    0.000    0.000    0.000 getlimits.py:378(finfo)
        2    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:235(Splitter)
        1    0.000    0.000    0.000    0.000 table.py:897(Location)
        1    0.000    0.000    0.000    0.000 __init__.py:4081(Image)
       32    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
        1    0.000    0.000    0.000    0.000 cache.py:691(FieldGroup)
        1    0.000    0.000    0.000    0.000 blocks.py:164(maybe_split)
        1    0.000    0.000    0.000    0.000 flexparser.py:334(Hash)
        1    0.000    0.000    0.000    0.000 indexing.py:781(CopyOnWriteArray)
        1    0.000    0.000    0.000    0.000 _lxml.py:66(_invert)
        1    0.000    0.000    0.000    0.000 _pyio.py:1888(IncrementalNewlineDecoder)
       10    0.000    0.000    0.000    0.000 _common.py:103(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend_wx.py:926(FigureManagerWx)
        1    0.000    0.000    0.000    0.000 definitions.py:25(Relation)
        1    0.000    0.000    0.000    0.000 _adapters.py:81(ChildPath)
        1    0.000    0.000    0.000    0.000 _version.py:14(NumpyVersion)
        1    0.000    0.000    0.000    0.000 surface_chart.py:56(_SurfaceChartBase)
        1    0.000    0.000    0.000    0.000 _multivariate.py:388(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
        9    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 units.py:108(ConversionInterface)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:25(DlpackDeviceType)
        1    0.000    0.000    0.000    0.000 apply.py:1240(FrameColumnApply)
        1    0.000    0.000    0.000    0.000 _ltisys.py:47(LinearTimeInvariant)
        1    0.000    0.000    0.000    0.000 filetype.py:56(Agilent_csv)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1503(XMLParser)
        1    0.000    0.000    0.000    0.000 filetype.py:105(EmpaLC_csv)
        1    0.000    0.000    0.000    0.000 _odds_ratio.py:174(OddsRatioResult)
        1    0.000    0.000    0.000    0.000 core.py:4908(_MultipleMatch)
        1    0.000    0.000    0.000    0.000 plain.py:184(CompactFormatter)
        1    0.000    0.000    0.000    0.000 types.py:1180(ConstrainedDate)
        2    0.000    0.000    0.000    0.000 getlimits.py:612(tiny)
        1    0.000    0.000    0.000    0.000 filetype.py:165(Panalytical_xrdml)
        7    0.000    0.000    0.000    0.000 system.py:105(name)
       18    0.000    0.000    0.000    0.000 cftimeindex.py:85(optional)
        1    0.000    0.000    0.000    0.000 _lambertw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1576(__repr__)
        1    0.000    0.000    0.000    0.000 apply.py:1521(GroupByApply)
        1    0.000    0.000    0.001    0.001 group.py:30(BeginGroup)
        1    0.000    0.000    0.000    0.000 step.py:278(Params)
        1    0.000    0.000    0.000    0.000 filetype.py:158(Panalytical_xrdml)
        1    0.000    0.000    0.010    0.010 reader.py:45(Reader)
        1    0.000    0.000    0.000    0.000 filetype.py:153(Panalytical_xy)
        1    0.000    0.000    0.000    0.000 info.py:841(_TableBuilderVerboseMixin)
        1    0.000    0.000    0.000    0.000 core.py:5200(SkipTo)
        2    0.000    0.000    0.000    0.000 __init__.py:75(register)
        1    0.000    0.000    0.000    0.000 colors.py:149(ColorList)
        1    0.000    0.000    0.000    0.000 filetype.py:151(Phi_spe)
        1    0.000    0.000    0.000    0.000 filetype.py:52(Agilent_dx)
        1    0.000    0.000    0.000    0.000 external.py:146(ExternalLink)
        1    0.000    0.000    0.000    0.000 filetype.py:109(Drycal_rtf)
       13    0.000    0.000    0.000    0.000 plural.py:521(_binary_compiler)
        4    0.000    0.000    0.000    0.000 core.py:3415(parseImpl)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 geo.py:249(AitoffTransform)
        1    0.000    0.000    0.000    0.000 Image.py:3666(Exif)
        1    0.000    0.000    0.000    0.000 _nonlin.py:1155(DiagBroyden)
        3    0.000    0.000    0.000    0.000 _common.py:765(open_binary)
        1    0.000    0.000    0.000    0.000 filetype.py:87(Drycal_txt)
        1    0.000    0.000    0.000    0.000 PeakManipulation.py:6(PeakManipulation)
        1    0.000    0.000    0.000    0.000 _interpolate.py:1024(PPoly)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 _triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 accessor.py:234(SparseFrameAccessor)
        1    0.000    0.000    0.000    0.000 info.py:1000(_SeriesTableBuilder)
        1    0.000    0.000    0.000    0.000 locks.py:263(combine_locks)
        1    0.000    0.000    0.000    0.000 core.py:364(IndexableIter)
        1    0.000    0.000    0.000    0.000 core.py:2701(Word)
       14    0.000    0.000    0.000    0.000 _common.py:9(__init__)
        1    0.000    0.000    0.000    0.000 annotated_handlers.py:22(GetJsonSchemaHandler)
        1    0.000    0.000    0.000    0.000 filetype.py:67(EClab_mpr)
        1    0.000    0.000    0.000    0.000 data_source.py:223(AxDataSource)
        1    0.000    0.000    0.000    0.000 transforms.py:1814(Affine2DBase)
        1    0.000    0.000    0.000    0.000 axis3d.py:732(XAxis)
        1    0.000    0.000    0.000    0.000 function_group.py:22(FunctionGroupList)
        1    0.000    0.000    0.000    0.000 _3d.py:74(_3DBase)
        1    0.000    0.000    0.000    0.000 settings.py:10(Output)
        1    0.000    0.000    0.000    0.000 filetype.py:91(EClab_mpr)
        1    0.000    0.000    0.000    0.000 axis.py:523(Ticker)
        1    0.000    0.000    0.000    0.000 _constraints.py:17(NonlinearConstraint)
        2    0.000    0.000    0.000    0.000 <string>:2(__setattr__)
        1    0.000    0.000    0.000    0.000 backend_tools.py:457(ToolViewsPositions)
        1    0.000    0.000    0.000    0.000 filetype.py:144(LabView_csv)
        1    0.000    0.000    0.000    0.000 __init__.py:2497(Place)
        1    0.000    0.000    0.012    0.012 compat.py:18(_resolve_char_detection)
        1    0.000    0.000    0.000    0.000 filetype.py:33(NoFileType)
        1    0.000    0.000    0.000    0.000 core.py:138(Diagnostics)
       21    0.000    0.000    0.000    0.000 accessors.py:176(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1420(IPv4Interface)
        1    0.000    0.000    0.000    0.000 locks.py:212(CombinedLock)
        1    0.000    0.000    0.000    0.000 patches.py:964(StepPatch)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:240(BFGS)
        1    0.000    0.000    0.000    0.000 _tritools.py:11(TriAnalyzer)
        1    0.000    0.000    0.000    0.000 page.py:150(PageMargins)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4146(unitary_group_gen)
        1    0.000    0.000    0.000    0.000 filetype.py:255(Tomato_json)
       31    0.000    0.000    0.000    0.000 multiarray.py:669(result_type)
        5    0.000    0.000    0.000    0.000 version.py:76(__lt__)
        1    0.000    0.000    0.000    0.000 transforms.py:1685(TransformWrapper)
        1    0.000    0.000    0.000    0.000 filetype.py:103(Agilent_dx)
        2    0.000    0.000    0.000    0.000 rcsetup.py:406(_validate_mathtext_fallback)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        3    0.000    0.000    0.000    0.000 core.py:1635(__invert__)
        1    0.000    0.000    0.000    0.000 rrule.py:1418(_rrulestr)
        1    0.000    0.000    0.000    0.000 resolver.py:12(BaseResolver)
        1    0.000    0.000    0.000    0.000 __init__.py:170(EventType)
        1    0.000    0.000    0.000    0.000 drawing.py:9(Drawing)
        1    0.000    0.000    0.000    0.000 filetype.py:141(Fusion_json)
        1    0.000    0.000    0.000    0.000 filetype.py:149(Fusion_csv)
       18    0.000    0.000    0.000    0.000 __init__.py:190(change_key)
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 _multivariate.py:6243(dirichlet_multinomial_frozen)
       10    0.000    0.000    0.000    0.000 util.py:558(__contains__)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 core.py:6735(_extrema_operation)
        1    0.000    0.000    0.000    0.000 flexcache.py:252(NameByMultiPaths)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
        1    0.000    0.000    0.000    0.000 apply.py:1372(SeriesApply)
        1    0.000    0.000    0.000    0.000 pydoc.py:1225(TextDoc)
        1    0.000    0.000    0.000    0.000 filetype.py:52(Drycal_rtf)
        1    0.000    0.000    0.000    0.000 filetype.py:83(Drycal_rtf)
        1    0.000    0.000    0.000    0.000 filetype.py:213(PicoLog_tc08)
        1    0.000    0.000    0.000    0.000 core.py:8376(_convert2ma)
        1    0.000    0.000    0.000    0.000 geometry.py:346(Path2D)
        1    0.000    0.000    0.000    0.000 filetype.py:161(EmpaLC_xlsx)
        6    0.000    0.000    0.000    0.000 __init__.py:668(__new__)
        1    0.000    0.000    0.000    0.000 _strptime.py:30(LocaleTime)
        3    0.000    0.000    0.000    0.000 pathlib.py:748(is_absolute)
        7    0.000    0.000    0.000    0.000 context.py:178(name)
        1    0.000    0.000    0.000    0.000 core.py:93(__compat__)
        1    0.000    0.000    0.000    0.000 html.py:701(_LxmlFrameParser)
        1    0.000    0.000    0.000    0.000 __init__.py:1950(ZipManifests)
        1    0.000    0.000    0.000    0.000 _complex.py:13(Complex)
        1    0.000    0.000    0.000    0.000 views.py:37(Selection)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        1    0.000    0.000    0.000    0.000 filetype.py:91(Fusion_zip)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2625(truncweibull_min_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:11394(rv_histogram)
        1    0.000    0.000    0.000    0.000 colors.py:1512(CenteredNorm)
        1    0.000    0.000    0.000    0.000 filetype.py:82(Agilent_csv)
        1    0.000    0.000    0.000    0.000 variables.py:87(NativeEndiannessArray)
        1    0.000    0.000    0.000    0.000 tz.py:482(_set_tzdata)
        1    0.000    0.000    0.000    0.000 models.py:296(CliDetectionResult)
        6    0.000    0.000    0.000    0.000 enum.py:1267(__hash__)
        7    0.000    0.000    0.000    0.000 message.py:410(__getitem__)
        1    0.000    0.000    0.000    0.000 filetype.py:38(Tomato_json)
        1    0.000    0.000    0.000    0.000 records.py:223(record)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1773(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 cache.py:447(GroupLevel)
        1    0.000    0.000    0.000    0.000 step.py:115(Params)
        2    0.000    0.000    0.000    0.000 matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:257(SelectorAttribute)
        1    0.000    0.000    0.000    0.000 filetype.py:166(Panalytical_csv)
        1    0.000    0.000    0.000    0.000 _reader.py:354(WorksheetReader)
        1    0.000    0.000    0.000    0.000 __init__.py:611(DistributionFinder)
        1    0.000    0.000    0.000    0.000 models.py:84(RequestEncodingMixin)
        1    0.000    0.000    0.000    0.000 SplashScreen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cubic.py:79(CubicHermiteSpline)
        1    0.000    0.000    0.000    0.000 socket.py:496(_real_close)
        1    0.000    0.000    0.000    0.000 _aggregations.py:5142(DatasetResampleAggregations)
        1    0.000    0.000    0.000    0.000 objects.py:277(__init__)
