Starting pygame as no macOS has been detected
pygame 2.6.1 (SDL 2.28.4, Python 3.12.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5112270 function calls (4771430 primitive calls) in 7.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3621    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:79(__init__)
9126/8956    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
2748/2738    0.006    0.000    0.290    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
      455    0.006    0.000    0.126    0.000 class_validators.py:242(make_generic_validator)
    11935    0.006    0.000    0.008    0.000 util.py:549(__iter__)
    16186    0.006    0.000    0.006    0.000 {method '__contains__' of 'frozenset' objects}
    14075    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
       12    0.006    0.000    0.006    0.001 util.py:305(solve_dependencies)
     2632    0.006    0.000    0.009    0.000 <frozen posixpath>:71(join)
  888/844    0.006    0.000    0.022    0.000 copy.py:247(_reconstruct)
     3441    0.006    0.000    0.007    0.000 _model_construction.py:229(__getattr__)
      899    0.005    0.000    0.030    0.000 flexparser.py:671(_get_next_strip)
      516    0.005    0.000    0.012    0.000 definitions.py:133(__post_init__)
     1774    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     3116    0.005    0.000    0.016    0.000 contextlib.py:299(helper)
    21344    0.005    0.000    0.005    0.000 {built-in method builtins.id}
     8011    0.005    0.000    0.032    0.000 registry.py:652(get_name)
  438/169    0.005    0.000    0.040    0.000 copy.py:217(_deepcopy_dict)
     1997    0.005    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     7799    0.005    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2696    0.005    0.000    0.261    0.000 inspect.py:3308(signature)
     4176    0.005    0.000    0.047    0.000 pint_eval.py:91(_plain_tokenizer)
    14287    0.005    0.000    0.005    0.000 {built-in method _imp.acquire_lock}
  816/172    0.005    0.000    0.697    0.004 _generate_schema.py:467(generate_schema)
     1592    0.005    0.000    0.014    0.000 _generics.py:214(get_origin)
      638    0.005    0.000    0.006    0.000 _signature.py:16(_field_name_for_signature)
      542    0.005    0.000    0.054    0.000 typing.py:687(Union)
     1798    0.005    0.000    0.005    0.000 flexparser.py:207(set_position)
2028/1468    0.005    0.000    0.024    0.000 _generate_schema.py:2147(_extract_get_pydantic_json_schema)
      527    0.005    0.000    0.151    0.000 fields.py:814(populate_validators)
     3365    0.005    0.000    0.094    0.000 {built-in method fromkeys}
     4077    0.005    0.000    0.008    0.000 __init__.py:447(_make)
      628    0.005    0.000    0.025    0.000 util.py:928(string_preprocessor)
     1896    0.005    0.000    0.005    0.000 _migration.py:262(wrapper)
      818    0.005    0.000    0.010    0.000 enum.py:390(__setitem__)
      172    0.005    0.000    0.009    0.000 _model_construction.py:666(build_lenient_weakvaluedict)
      172    0.005    0.000    0.008    0.000 _model_construction.py:315(inspect_namespace)
     3621    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:82(remove)
     1104    0.005    0.000    0.012    0.000 enum.py:1562(__and__)
     2118    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:445(cb)
     1587    0.005    0.000    0.008    0.000 typing.py:1194(__instancecheck__)
      496    0.005    0.000    0.006    0.000 css_types.py:41(__init__)
      552    0.004    0.000    0.423    0.001 _compiler.py:740(compile)
      810    0.004    0.000    0.005    0.000 _core_metadata.py:67(build_metadata_dict)
     2111    0.004    0.000    0.004    0.000 {built-in method _imp.is_builtin}
     2118    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:232(__init__)
     4656    0.004    0.000    0.008    0.000 util.py:806(__hash__)
     1088    0.004    0.000    0.051    0.000 registry.py:721(_get_dimensionality)
      552    0.004    0.000    0.032    0.000 _compiler.py:511(_compile_info)
        1    0.004    0.004    0.010    0.010 mimetypes.py:218(readfp)
     8107    0.004    0.000    0.006    0.000 _parser.py:293(tell)
       67    0.004    0.000    0.005    0.000 colors.py:1089(reversed)
     9098    0.004    0.000    0.007    0.000 typing.py:1565(__eq__)
      108    0.004    0.000    0.194    0.002 _distn_infrastructure.py:1802(__init__)
      527    0.004    0.000    0.007    0.000 fields.py:151(__init__)
      183    0.004    0.000    0.024    0.000 _decorators.py:503(inspect_validator)
      970    0.004    0.000    0.011    0.000 _docscrape.py:168(_is_at_section)
     2697    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:1231(_resolve_name)
    14287    0.004    0.000    0.004    0.000 {built-in method _imp.release_lock}
    14651    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
     5738    0.004    0.000    0.065    0.000 flexparser.py:945(body_classes)
     4543    0.004    0.000    0.004    0.000 _model_construction.py:648(__init__)
     9656    0.004    0.000    0.004    0.000 {method 'get' of 'mappingproxy' objects}
     4176    0.004    0.000    0.048    0.000 pint_eval.py:75(__next__)
     2771    0.004    0.000    0.105    0.000 flexparser.py:127(specialization)
2278/2179    0.004    0.000    0.006    0.000 typing.py:1573(__hash__)
  404/351    0.004    0.000    0.116    0.000 _core_utils.py:292(handle_union_schema)
     1170    0.004    0.000    0.094    0.000 registry.py:1162(_dedup_candidates)
     1147    0.004    0.000    0.007    0.000 _known_annotated_metadata.py:361(collect_known_metadata)
       21    0.004    0.000    0.009    0.000 enum.py:1708(convert_class)
     3665    0.004    0.000    0.028    0.000 typing.py:166(_type_convert)
     6673    0.004    0.000    0.008    0.000 {method 'setdefault' of 'dict' objects}
     1774    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      628    0.004    0.000    0.077    0.000 pint_eval.py:528(build_eval_tree)
     8457    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      144    0.004    0.000    0.011    0.000 {built-in method _io.open}
     1439    0.004    0.000    0.014    0.000 inspect.py:3066(replace)
     2435    0.004    0.000    0.005    0.000 base.py:19(__init__)
      162    0.004    0.000    0.015    0.000 fields.py:263(from_annotation)
     3115    0.004    0.000    0.012    0.000 contextlib.py:141(__exit__)
     1391    0.004    0.000    0.021    0.000 typing.py:1147(__init__)
1776/1773    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     7096    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     9016    0.004    0.000    0.004    0.000 _parser.py:113(__init__)
     1111    0.004    0.000    0.006    0.000 _std_types_schema.py:204(path_schema_prepare_pydantic_annotations)
     3013    0.004    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      415    0.004    0.000    0.221    0.001 fields.py:483(infer)
     2085    0.004    0.000    0.004    0.000 {built-in method _imp.find_frozen}
      895    0.004    0.000    0.004    0.000 {method '__reduce_ex__' of 'object' objects}
     8457    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:1222(__enter__)
    16878    0.004    0.000    0.004    0.000 {built-in method builtins.ord}
     1848    0.004    0.000    0.005    0.000 _known_annotated_metadata.py:127(expand_grouped_metadata)
      139    0.004    0.000    0.004    0.000 config.py:169(inherit_config)
     8733    0.004    0.000    0.005    0.000 inspect.py:295(isclass)
4100/1459    0.004    0.000    0.015    0.000 <frozen abc>:121(__subclasscheck__)
     2846    0.004    0.000    0.005    0.000 base.py:39(__set__)
